Model,MAE,RMSE,R2,Rank,RMSE Difference from Winner,Percentage Difference
Random Forest,1.1706329113924052,1.97473322451841,0.8098238322966482,1,0.0,0.0
Gradient Boosting,1.267622292850229,2.154159988807915,0.7736944862054645,2,0.1794267642895051,9.086126777112538
Extra Trees,1.3311814345991562,2.2644825354383293,0.7499210274296113,3,0.2897493109199194,14.672833136262359
Decision Tree,1.357218203737191,2.467248497769575,0.7031308891822728,4,0.49251527325116506,24.940851105155115
SVR,1.8366678536589514,2.7260297218073055,0.6375898115704413,5,0.7512964972888956,38.04546801364112
MLP Regressor,2.020337290519022,2.784599125864401,0.6218495773067232,6,0.8098659013459912,41.01140808746448
KNN,2.5848101265822785,3.3926950565642415,0.4386562685587473,7,1.4179618320458316,71.80523497758227
